id,shopCode,sku,name,category,unit,costPricePKR,retailPricePKR,quantity,reorderLevel,isActive,createdAt,updatedAt
"inv_79x52rwly","MAIN","GRO-RICE-5KG","Rice (5kg)","Groceries","pack","1200","1600","26","8","true","2026-07-15T03:48:56.252Z","2026-07-15T03:48:56.252Z"
"inv_os93vdbj8","MAIN","GRO-OIL-1L","Cooking Oil (1L)","Groceries","pack","450","580","54","7","true","2026-07-23T14:51:11.254Z","2026-07-23T14:51:11.254Z"
"inv_yvfurzi1f","MAIN","GRO-FLOUR-10KG","Wheat Flour (10kg)","Groceries","pack","1400","1800","52","5","true","2026-07-19T11:46:39.254Z","2026-07-19T11:46:39.254Z"
"inv_jhrm3gfjz","MAIN","GRO-MILK-1L","Milk Pack (1L)","Groceries","pack","250","310","63","12","true","2026-07-19T07:35:27.254Z","2026-07-19T07:35:27.254Z"
"inv_2b57qcgut","MAIN","GRO-BISCUIT-FAM","Biscuits (Family Pack)","Groceries","pack","100","135","16","9","true","2026-07-30T07:04:42.254Z","2026-07-30T07:04:42.254Z"
"inv_vm6nkodiv","MAIN","GRO-TEA-900G","Tea (900g)","Groceries","pack","1300","1700","0","11","true","2026-07-20T03:33:56.254Z","2026-07-20T03:33:56.254Z"
"inv_oderuqzm9","MAIN","GRO-SUGAR-1KG","Sugar (1kg)","Groceries","kg","140","175","6","9","true","2026-07-13T09:24:32.254Z","2026-07-13T09:24:32.254Z"
"inv_uzbdu5m4b","MAIN","GRO-LENTIL-1KG","Daal Chana (1kg)","Groceries","kg","280","360","27","15","true","2026-07-24T04:39:15.254Z","2026-07-24T04:39:15.254Z"
"inv_wo440uxey","MAIN","BEV-WATER-1.5L","Mineral Water (1.5L)","Beverages","pcs","80","110","78","8","true","2026-07-17T14:54:37.254Z","2026-07-17T14:54:37.254Z"
"inv_98y3cs1s5","MAIN","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","Beverages","pcs","150","200","47","11","true","2026-07-12T06:19:06.254Z","2026-07-12T06:19:06.254Z"
"inv_oeinh5eom","MAIN","BEV-JUICE-1L","Mango Juice (1L)","Beverages","pcs","200","270","19","9","true","2026-07-30T05:26:49.254Z","2026-07-30T05:26:49.254Z"
"inv_egwj47t8n","MAIN","BEV-CHIPS-L","Potato Chips (Large)","Beverages","pack","80","115","2","5","true","2026-07-15T07:05:42.254Z","2026-07-15T07:05:42.254Z"
"inv_4rwrs9v5t","MAIN","BEV-CHOC-BAR","Chocolate Bar (50g)","Beverages","pcs","90","130","35","15","true","2026-07-21T12:56:46.254Z","2026-07-21T12:56:46.254Z"
"inv_wbtqdpayd","MAIN","BEV-ENERGY-250ML","Energy Drink (250ml)","Beverages","pcs","200","280","65","13","true","2026-07-27T09:31:23.254Z","2026-07-27T09:31:23.254Z"
"inv_ftsml9z9w","MAIN","PER-SOAP","Hand Soap (100g)","Personal Care","pcs","80","120","4","11","true","2026-08-10T07:27:15.254Z","2026-08-10T07:27:15.254Z"
"inv_0c4sg860u","MAIN","PER-SHAMPOO-200ML","Shampoo (200ml)","Personal Care","pcs","350","480","37","5","true","2026-07-21T06:26:56.254Z","2026-07-21T06:26:56.254Z"
"inv_5t60tf453","MAIN","PER-TOOTHPASTE","Toothpaste (120g)","Personal Care","pcs","180","250","54","11","true","2026-07-24T09:28:27.254Z","2026-07-24T09:28:27.254Z"
"inv_x2dv8m15e","MAIN","PER-TISSUE","Tissue Box (150s)","Personal Care","pcs","160","220","0","14","true","2026-07-27T13:00:00.254Z","2026-07-27T13:00:00.254Z"
"inv_ercwcfc3x","MAIN","PER-DETERGENT-1KG","Laundry Detergent (1kg)","Personal Care","pack","400","550","27","10","true","2026-07-12T07:40:54.254Z","2026-07-12T07:40:54.254Z"
"inv_sm5oyilt7","MAIN","PER-FACEWASH","Face Wash (100ml)","Personal Care","pcs","250","360","43","14","true","2026-07-10T06:38:20.254Z","2026-07-10T06:38:20.254Z"
"inv_lnj298yre","MAIN","ELE-USB-32GB","USB Flash Drive 32GB","Electronics","pcs","800","1300","31","15","true","2026-08-01T07:14:02.254Z","2026-08-01T07:14:02.254Z"
"inv_s0ao57kh8","MAIN","ELE-CABLE-C","Type-C Charging Cable","Electronics","pcs","300","550","13","14","true","2026-07-31T09:24:35.254Z","2026-07-31T09:24:35.254Z"
"inv_o73bcwctf","MAIN","ELE-EARBUDS","Wireless Earbuds","Electronics","pcs","1500","2700","28","11","true","2026-07-10T15:37:28.254Z","2026-07-10T15:37:28.254Z"
"inv_phven6on5","MAIN","ELE-POWERBANK","Power Bank (10000mAh)","Electronics","pcs","3000","4900","15","5","true","2026-07-09T04:33:52.254Z","2026-07-09T04:33:52.254Z"
"inv_b11ytz7mb","MAIN","ELE-CHARGER","Wall Charger (18W)","Electronics","pcs","600","1100","0","6","true","2026-07-24T04:47:10.254Z","2026-07-24T04:47:10.254Z"
"inv_bz0obejcg","BR-02","GRO-RICE-5KG","Rice (5kg)","Groceries","pack","1200","1600","21","7","true","2026-08-01T16:29:18.255Z","2026-08-01T16:29:18.255Z"
"inv_c3opdjxde","BR-02","GRO-OIL-1L","Cooking Oil (1L)","Groceries","pack","450","580","0","14","true","2026-07-09T09:02:49.255Z","2026-07-09T09:02:49.255Z"
"inv_khr0aa4k2","BR-02","GRO-FLOUR-10KG","Wheat Flour (10kg)","Groceries","pack","1400","1800","0","15","true","2026-08-09T15:32:41.255Z","2026-08-09T15:32:41.255Z"
"inv_sq4b2e9ff","BR-02","GRO-MILK-1L","Milk Pack (1L)","Groceries","pack","250","310","13","13","true","2026-08-02T11:08:02.255Z","2026-08-02T11:08:02.255Z"
"inv_hjexzzjx1","BR-02","GRO-BISCUIT-FAM","Biscuits (Family Pack)","Groceries","pack","100","135","0","9","true","2026-07-17T13:19:48.255Z","2026-07-17T13:19:48.255Z"
"inv_xljkx7ymw","BR-02","GRO-TEA-900G","Tea (900g)","Groceries","pack","1300","1700","30","5","true","2026-08-10T08:45:42.255Z","2026-08-10T08:45:42.255Z"
"inv_gklu1cwos","BR-02","GRO-SUGAR-1KG","Sugar (1kg)","Groceries","kg","140","175","41","6","true","2026-07-29T04:38:06.255Z","2026-07-29T04:38:06.255Z"
"inv_znl7k0j2v","BR-02","GRO-LENTIL-1KG","Daal Chana (1kg)","Groceries","kg","280","360","0","13","true","2026-07-18T04:16:48.255Z","2026-07-18T04:16:48.255Z"
"inv_ytzoevyrc","BR-02","BEV-WATER-1.5L","Mineral Water (1.5L)","Beverages","pcs","80","110","22","11","true","2026-08-05T07:02:21.255Z","2026-08-05T07:02:21.255Z"
"inv_c4xeftub3","BR-02","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","Beverages","pcs","150","200","17","14","true","2026-08-04T03:48:08.255Z","2026-08-04T03:48:08.255Z"
"inv_ddhuhe1as","BR-02","BEV-JUICE-1L","Mango Juice (1L)","Beverages","pcs","200","270","0","5","true","2026-07-30T03:04:14.255Z","2026-07-30T03:04:14.255Z"
"inv_uw7gsp6ke","BR-02","BEV-CHIPS-L","Potato Chips (Large)","Beverages","pack","80","115","35","8","true","2026-08-06T07:49:03.255Z","2026-08-06T07:49:03.255Z"
"inv_npzohf5lk","BR-02","BEV-CHOC-BAR","Chocolate Bar (50g)","Beverages","pcs","90","130","80","12","true","2026-07-21T10:24:48.255Z","2026-07-21T10:24:48.255Z"
"inv_hwjzj4fwg","BR-02","BEV-ENERGY-250ML","Energy Drink (250ml)","Beverages","pcs","200","280","0","12","true","2026-07-11T05:29:28.255Z","2026-07-11T05:29:28.255Z"
"inv_mscv3c1mh","BR-02","PER-SOAP","Hand Soap (100g)","Personal Care","pcs","80","120","0","9","true","2026-08-07T03:07:14.255Z","2026-08-07T03:07:14.255Z"
"inv_gvrza2ijm","BR-02","PER-SHAMPOO-200ML","Shampoo (200ml)","Personal Care","pcs","350","480","62","15","true","2026-07-19T12:08:38.255Z","2026-07-19T12:08:38.255Z"
"inv_fidavvjvt","BR-02","PER-TOOTHPASTE","Toothpaste (120g)","Personal Care","pcs","180","250","7","10","true","2026-08-09T16:59:05.255Z","2026-08-09T16:59:05.255Z"
"inv_6jg7oltpb","BR-02","PER-TISSUE","Tissue Box (150s)","Personal Care","pcs","160","220","0","13","true","2026-07-07T05:30:17.255Z","2026-07-07T05:30:17.255Z"
"inv_l0wqs1fno","BR-02","PER-DETERGENT-1KG","Laundry Detergent (1kg)","Personal Care","pack","400","550","67","11","true","2026-07-10T11:48:26.255Z","2026-07-10T11:48:26.255Z"
"inv_z5gh463ko","BR-02","PER-FACEWASH","Face Wash (100ml)","Personal Care","pcs","250","360","64","15","true","2026-08-02T10:28:40.255Z","2026-08-02T10:28:40.255Z"
"inv_5ik6k21w1","BR-02","ELE-USB-32GB","USB Flash Drive 32GB","Electronics","pcs","800","1300","43","10","true","2026-07-17T15:14:50.255Z","2026-07-17T15:14:50.255Z"
"inv_qdga38wvk","BR-02","ELE-CABLE-C","Type-C Charging Cable","Electronics","pcs","300","550","39","6","true","2026-08-06T13:23:51.255Z","2026-08-06T13:23:51.255Z"
"inv_15eiykl1l","BR-02","ELE-EARBUDS","Wireless Earbuds","Electronics","pcs","1500","2700","14","10","true","2026-07-31T06:54:42.255Z","2026-07-31T06:54:42.255Z"
"inv_ybky8kivg","BR-02","ELE-POWERBANK","Power Bank (10000mAh)","Electronics","pcs","3000","4900","3","10","true","2026-08-06T10:09:27.255Z","2026-08-06T10:09:27.255Z"
"inv_b4vrl0utf","BR-02","ELE-CHARGER","Wall Charger (18W)","Electronics","pcs","600","1100","42","14","true","2026-08-08T04:31:31.255Z","2026-08-08T04:31:31.255Z"
"inv_4cnzvgf66","BR-03","GRO-RICE-5KG","Rice (5kg)","Groceries","pack","1200","1600","0","5","true","2026-08-04T09:36:23.255Z","2026-08-04T09:36:23.255Z"
"inv_cjilarfpj","BR-03","GRO-OIL-1L","Cooking Oil (1L)","Groceries","pack","450","580","27","9","true","2026-07-10T16:31:11.255Z","2026-07-10T16:31:11.255Z"
"inv_02t3q2dy8","BR-03","GRO-FLOUR-10KG","Wheat Flour (10kg)","Groceries","pack","1400","1800","48","14","true","2026-07-09T08:12:15.255Z","2026-07-09T08:12:15.255Z"
"inv_88rzyv3j2","BR-03","GRO-MILK-1L","Milk Pack (1L)","Groceries","pack","250","310","10","10","true","2026-08-08T12:28:48.255Z","2026-08-08T12:28:48.255Z"
"inv_7ctnjsgku","BR-03","GRO-BISCUIT-FAM","Biscuits (Family Pack)","Groceries","pack","100","135","56","13","true","2026-08-10T16:47:04.255Z","2026-08-10T16:47:04.255Z"
"inv_gat8o1idk","BR-03","GRO-TEA-900G","Tea (900g)","Groceries","pack","1300","1700","51","6","true","2026-08-09T08:24:44.255Z","2026-08-09T08:24:44.255Z"
"inv_cldubxem5","BR-03","GRO-SUGAR-1KG","Sugar (1kg)","Groceries","kg","140","175","33","14","true","2026-08-05T10:08:16.255Z","2026-08-05T10:08:16.255Z"
"inv_jh6nxgkwf","BR-03","GRO-LENTIL-1KG","Daal Chana (1kg)","Groceries","kg","280","360","39","11","true","2026-07-31T15:20:52.255Z","2026-07-31T15:20:52.255Z"
"inv_oddsgnftg","BR-03","BEV-WATER-1.5L","Mineral Water (1.5L)","Beverages","pcs","80","110","0","5","true","2026-07-18T06:31:29.255Z","2026-07-18T06:31:29.255Z"
"inv_hikai5yf2","BR-03","BEV-COLA-1.5L","Cola Soft Drink (1.5L)","Beverages","pcs","150","200","6","15","true","2026-07-22T09:40:39.255Z","2026-07-22T09:40:39.255Z"
"inv_6pfov00fr","BR-03","BEV-JUICE-1L","Mango Juice (1L)","Beverages","pcs","200","270","5","12","true","2026-07-14T11:08:30.255Z","2026-07-14T11:08:30.255Z"
"inv_b62z0zv7l","BR-03","BEV-CHIPS-L","Potato Chips (Large)","Beverages","pack","80","115","4","6","true","2026-07-14T08:11:08.255Z","2026-07-14T08:11:08.255Z"
"inv_5v999zflm","BR-03","BEV-CHOC-BAR","Chocolate Bar (50g)","Beverages","pcs","90","130","19","5","true","2026-07-24T09:46:10.255Z","2026-07-24T09:46:10.255Z"
"inv_wg7yce3t1","BR-03","BEV-ENERGY-250ML","Energy Drink (250ml)","Beverages","pcs","200","280","58","11","true","2026-07-19T03:41:08.255Z","2026-07-19T03:41:08.255Z"
"inv_wlkp5t9a5","BR-03","PER-SOAP","Hand Soap (100g)","Personal Care","pcs","80","120","15","5","true","2026-07-07T15:26:54.255Z","2026-07-07T15:26:54.255Z"
"inv_c6z8kuvgi","BR-03","PER-SHAMPOO-200ML","Shampoo (200ml)","Personal Care","pcs","350","480","0","14","true","2026-08-09T14:00:27.255Z","2026-08-09T14:00:27.255Z"
"inv_308ev2uws","BR-03","PER-TOOTHPASTE","Toothpaste (120g)","Personal Care","pcs","180","250","15","7","true","2026-07-17T08:31:39.255Z","2026-07-17T08:31:39.255Z"
"inv_xyvolkp9x","BR-03","PER-TISSUE","Tissue Box (150s)","Personal Care","pcs","160","220","21","14","true","2026-08-10T10:48:15.255Z","2026-08-10T10:48:15.255Z"
"inv_m8mcvinfd","BR-03","PER-DETERGENT-1KG","Laundry Detergent (1kg)","Personal Care","pack","400","550","0","9","true","2026-07-22T12:53:48.255Z","2026-07-22T12:53:48.255Z"
"inv_zdks3i1i4","BR-03","PER-FACEWASH","Face Wash (100ml)","Personal Care","pcs","250","360","70","8","true","2026-07-20T09:13:49.255Z","2026-07-20T09:13:49.255Z"
"inv_0ovwrqd77","BR-03","ELE-USB-32GB","USB Flash Drive 32GB","Electronics","pcs","800","1300","21","11","true","2026-07-24T08:10:57.255Z","2026-07-24T08:10:57.255Z"
"inv_xlpeh6yb8","BR-03","ELE-CABLE-C","Type-C Charging Cable","Electronics","pcs","300","550","27","8","true","2026-08-08T06:27:28.255Z","2026-08-08T06:27:28.255Z"
"inv_xr9jsb6k0","BR-03","ELE-EARBUDS","Wireless Earbuds","Electronics","pcs","1500","2700","26","8","true","2026-07-07T11:18:07.255Z","2026-07-07T11:18:07.255Z"
"inv_ed4vcngtw","BR-03","ELE-POWERBANK","Power Bank (10000mAh)","Electronics","pcs","3000","4900","9","14","true","2026-07-11T12:50:27.255Z","2026-07-11T12:50:27.255Z"
"inv_vq8fxigci","BR-03","ELE-CHARGER","Wall Charger (18W)","Electronics","pcs","600","1100","69","9","true","2026-07-09T08:42:59.255Z","2026-07-09T08:42:59.255Z"
